Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
CANADA,3.865864666,3.821640709,3.776625307,3.739510266,3.698084788,3.655989052,3.61663736,3.581730817,3.5533034,3.518443373,3.48336341,3.448833289,3.418031101,3.383698924,3.353952434,3.326317341,3.297648543,3.262975463,3.228016464,3.201393741,3.170767943,3.136258386,3.097998683,3.05613564,3.010828602,2.95760383,2.919664684,2.88161557,2.852803813,2.826411364,2.799359103,2.771427095,2.738216596,2.704456255,2.669706197,2.643203779,2.61681133,2.586240077,2.552259798,2.504433052,2.459931094,2.418607446,2.380327838,2.344969104,2.312418417,2.281187352,2.244677798,2.20464925,2.163960891,2.125141997,2.085443355,2.046954366,2.009235158
SWITZERLAND,204.6734234,202.3702045,200.2327665,198.0187519,195.9669754,193.5336319,191.0901154,189.385176,188.1956324,186.9844383,185.6987677,184.3214665,182.9277636,181.7693047,180.7461354,179.8816222,179.3433855,178.9073568,178.1144729,176.9282046,175.5234132,173.9321511,172.0250449,169.888411,168.1527992,166.7987047,165.577323,164.5405652,163.6865339,162.9655443,162.3854736,161.690675,160.7486845,159.8716859,159.238135,158.9186905,158.9044222,159.4440397,160.3580247,160.4281775,159.5665604,158.3929367,157.1898148,156.3670563,155.241525,153.5041996,151.583308,149.7167071,148.1600891,146.4589152,144.0560362,141.0092846,137.4796094
CHILE,23.6973096,23.4889877,23.2786874,23.06660641,22.85272053,22.63679842,22.41852671,22.19747099,21.97316188,21.74518514,21.51307274,21.27618179,21.03378066,20.78512021,20.53110828,20.27136559,20.00244509,19.71982779,19.420957,19.10439093,18.77306962,18.43429066,18.09804554,17.77183766,17.45860568,17.15742564,16.86719334,16.58530366,16.30993152,16.04052953,15.7782772,15.52490411,15.28275716,15.0529957,14.83632177,14.6306319,14.43079383,14.22991747,14.02284233,13.80744608,13.58435548,13.35458326,13.12028534,12.88300033,12.64330923,12.40043334,12.1531232,11.89963176,11.63913725,11.37145274,11.09837774,10.82359603,10.55199507
CHINA,144.5834568,143.8713936,143.1721123,142.4877434,141.8012441,141.0977052,140.3765881,139.6453429,138.8677661,138.0534367,137.2359193,136.3837796,135.4730488,134.492481,133.4367607,132.2863841,131.0231002,129.6889829,128.3366211,126.9496445,125.522861,124.0880888,122.576625,120.9155061,119.154262,117.3413575,115.4672063,113.6303358,111.9527068,110.4385801,108.9990147,107.435358,105.8647778,104.5173488,103.2146566,101.8469896,100.4931697,99.13295875,97.61084334,95.90179213,93.94083029,91.82009427,89.59124437,87.16374191,84.78949751,82.4978031,80.37174127,78.3319575,76.17873406,74.38606769,72.67967939,70.91523979,70.33579208
COTE D'IVOIRE,63.88706289,62.38915094,60.97469811,59.67480503,58.49478616,57.42152201,56.44358805,55.54219182,54.69809434,53.9129717,53.17547484,52.43706604,51.63576415,50.72745912,49.69260377,48.54235849,47.30235535,46.01380818,44.70889937,43.3926478,42.06088994,40.72639937,39.40276101,38.10001887,36.82743711,35.58604088,34.36704088,33.15606289,31.9435,30.72809119,29.51649371,28.31646855,27.13891195,25.99229245,24.87988679,23.80148428,22.75790881,21.74895283,20.77482704,19.83627673,18.93523585,18.07431761,17.25658491,16.48400629,15.75774214,15.07672642,14.43785535,13.8366478,13.2696195,12.73482704,12.23226101,11.76258805,11.32727987
CAMEROON,47.07740264,45.90474287,44.7552876,43.63001206,42.52912991,41.45253115,40.40040617,39.37284382,38.36968543,37.39070466,36.43518648,35.50177487,34.58873305,33.69447018,32.81854202,31.96020605,31.11723044,30.28696029,29.46748535,28.65805251,27.85904043,27.07120856,26.2959087,25.53438472,24.78681433,24.05363542,23.3367498,22.63852679,21.96081741,21.30434939,20.66923695,20.05592858,19.4646739,18.89556176,18.34881005,17.82426223,17.32106365,16.83801908,16.37408982,15.92880201,15.50183834,15.09249646,14.70002115,14.32372279,13.96306192,13.61756045,13.28667259,12.96987582,12.66668994,12.3764126,12.09861226,11.83340314,11.58111527
"CONGO, THE DRC",29.78040934,28.98263955,28.20030965,27.43263757,26.6806096,25.9451878,25.2257083,24.52122273,23.83185329,23.15224322,22.48398712,21.84202378,21.24657374,20.70939944,20.24176794,19.83235526,19.44306345,19.02146005,18.531803,17.95805827,17.31646589,16.64322357,15.99127721,15.39912706,14.87744205,14.41483778,14.0009991,13.61763305,13.25064423,12.8993754,12.56721731,12.24841755,11.93637238,11.62630158,11.31465296,11.00171192,10.69143204,10.39013608,10.10223639,9.828946428,9.568093337,9.316718643,9.070491608,8.82640524,8.583345758,8.342637789,8.106653581,7.878899892,7.66187733,7.456341501,7.26138109,7.075824089,6.897825368
CONGO,13.02381259,12.70000293,12.37293997,12.04016105,11.69881698,11.35131772,11.00690483,10.67833968,10.37442753,10.09917423,9.848954612,9.615575403,9.386928258,9.154330893,8.914916545,8.671616398,8.428500732,8.192011713,7.966714495,7.753490483,7.550289898,7.355253294,7.165505124,6.978866764,6.794986823,6.614304539,6.436383602,6.260878477,6.0875959,5.916055637,5.746339678,5.579534407,5.417188873,5.260357247,5.109581259,4.964415813,4.823777452,4.686076135,4.550228404,4.415812592,4.283358712,4.153897511,4.028919473,3.909487555,3.795918009,3.687830161,3.584734993,3.485868228,3.390644217,3.298896047,3.210740849,3.126175695,3.045265007
COLOMBIA,43.5524155,42.99632898,42.43243984,41.86101667,41.28216404,40.69674358,40.10670572,39.51452907,38.92206039,38.33043984,37.73956827,37.14853898,36.55578909,35.96032808,35.36197837,34.7616548,34.1607553,33.5611753,32.96430374,32.3708283,31.78049211,31.19258315,30.60593601,30.01977557,29.43424245,28.84995403,28.26721857,27.68645967,27.10817936,26.53269941,25.96059126,25.3929635,24.83115998,24.27633258,23.72801803,23.18642271,22.65402434,22.13397657,21.62798468,21.13808292,20.66223975,20.19314015,19.7207616,19.23819829,18.74292023,18.23789635,17.72856061,17.2230365,16.72756737,16.24374493,15.77080847,15.30987562,14.86164579
COMOROS,394.9043525,385.5470177,376.2579258,367.0505105,357.9242343,348.8936056,339.9978506,331.2874798,322.8011822,314.5561526,306.5507792,298.779151,291.2283718,283.8860828,276.747985,269.8162278,263.0988716,256.6082751,250.3465879,244.3121977,238.4846857,232.824288,227.2804944,221.8108544,216.3927996,211.0182697,205.6802794,200.3734551,195.0929608,189.8683503,184.6899516,179.4723267,174.0988716,168.5104782,162.6426652,156.5797958,150.5900054,145.0360021,140.1735626,136.1106932,132.7560451,129.9134874,127.2890919,124.6641591,121.9758195,119.281569,116.632993,114.1219774,111.8108544,109.6990865,107.7404621,105.8962923,104.1128426
